Country,2019,2020,2021,2022,Grand Total
Albania,5,10,13,15,43
Argentina,2,4,12,11,29
Austria,28,21,17,14,80
Belarus,1,2,3,3,9
Belgium,1,1,,,2
Bolivia,1,,1,1,3
Bosnia and Herzegovina,,1,1,,2
Brazil,6,2,4,6,18
Bulgaria,16,36,26,9,87
Colombia,1,1,1,4,7
Croatia,3,2,7,2,14
Cuba,2,1,2,7,12
Czechia,,3,3,3,9
Denmark,,1,,,1
Dominican Republic,,,1,,1
Ecuador,1,3,5,3,12
Egypt,7,1,2,11,21
Finland,2,1,,,3
France,1,4,2,1,8
Germany,14,13,6,15,48
Greece,,1,,2,3
Guatemala,,,,1,1
Honduras,,,,1,1
Hungary,8,4,4,3,19
Iraq,1,,1,1,3
Ireland,,,1,1,2
Jordan,,1,,,1
Latvia,2,6,6,6,20
Lebanon,,,,1,1
Lithuania,2,2,1,2,7
Madagascar,1,,,,1
Malta,,,2,,2
Mexico,2,1,2,,5
Monaco,1,1,,,2
Morocco,,,1,,1
Netherlands,2,2,2,2,8
North Macedonia,,,,1,1
Others,57,81,57,67,262
Paraguay,,,1,,1
Peru,2,2,,,4
Poland,5,3,2,7,17
Portugal,,,4,1,5
Moldova,2,2,2,3,9
Romania,43,53,54,54,204
Russia,2,1,3,2,8
Serbia,,,,2,2
Slovakia,1,3,9,9,22
Slovenia,1,4,,,5
South Africa,,,1,,1
Spain,25,17,32,12,86
Sweden,,,,1,1
Switzerland,3,,1,1,5
Tunisia,,,1,,1
Ukraine,4,,3,1,8
United Kingdom,5,2,2,3,12
Uruguay,,,1,,1
Venezuela,,,,2,2
Grand Total,260,293,299,291,1143
