,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Total,"450,174","458,866","464,678","467,218","466,767","464,144","459,124","455,686","453,134","451,197","451,947","459,702","469,160","479,605","491,862","504,897","518,728","532,667","546,893","562,297","578,704","595,975"
Active,"417,108","420,085","419,992","417,255","412,832","407,291","401,326","399,178","398,848","400,352","405,454","417,462","430,057","443,149","457,608","473,004","489,243","505,909","522,948","540,422","558,023","575,446"
Non Pensionati,"402,560","403,088","400,464","395,465","389,340","382,549","376,179","374,584","375,206","378,184","385,151","398,982","412,921","427,147","442,551","458,958","476,229","494,064","512,309","530,670","548,783","566,271"
,,,,,,,,,,,,,,,,,,,,,,
25-35,"87,911","95,516","101,481","105,518","108,303","110,345","111,787","115,482","119,893","124,322","131,872","145,289","160,210","173,723","188,029","202,459","216,670","229,153","240,206","250,029","259,307","265,375"
36-45,"72,974","73,517","74,132","74,765","75,123","76,407","77,821","79,985","82,674","85,874","88,779","91,545","92,828","95,622","97,567","98,788","100,144","102,410","105,591","109,476","113,815","121,164"
46-55,"71,046","68,546","67,131","66,598","67,260","68,160","69,424","70,873","72,063","72,643","72,974","73,517","74,132","74,765","75,123","76,407","77,821","79,985","82,674","85,874","88,779","91,545"
56-67,"170,629","165,509","157,720","148,584","138,654","127,637","117,147","108,244","100,576","95,345","91,526","88,631","85,751","83,037","81,832","81,304","81,594","82,517","83,839","85,292","86,882","88,187"
,,,,,,,,,,,,,,,,,,,,,,
25-35,21.84%,23.70%,25.34%,26.68%,27.82%,28.84%,29.72%,30.83%,31.95%,32.87%,34.24%,36.42%,38.80%,40.67%,42.49%,44.11%,45.50%,46.38%,46.89%,47.12%,47.25%,46.86%
36-45,18.13%,18.24%,18.51%,18.91%,19.29%,19.97%,20.69%,21.35%,22.03%,22.71%,23.05%,22.94%,22.48%,22.39%,22.05%,21.52%,21.03%,20.73%,20.61%,20.63%,20.74%,21.40%
46-55,17.65%,17.01%,16.76%,16.84%,17.28%,17.82%,18.46%,18.92%,19.21%,19.21%,18.95%,18.43%,17.95%,17.50%,16.97%,16.65%,16.34%,16.19%,16.14%,16.18%,16.18%,16.17%
56-67,42.39%,41.06%,39.38%,37.57%,35.61%,33.36%,31.14%,28.90%,26.81%,25.21%,23.76%,22.21%,20.77%,19.44%,18.49%,17.71%,17.13%,16.70%,16.36%,16.07%,15.83%,15.57%
,,,,,,,,,,,,,,,,,,,,,,
Carico SSN,195,198,199,201,203,206,209,213,215,217,216,212,207,203,198,193,188,183,178,173,169,165
25-35,43,47,50,54,56,59,62,66,69,71,74,77,80,83,84,85,86,85,83,82,80,77
36-45,35,36,37,38,39,41,43,45,47,49,50,49,47,45,44,42,40,38,37,36,35,35
46-55,34,34,33,34,35,37,39,40,41,42,41,39,37,36,34,32,31,30,29,28,27,27
56-67,83,81,78,75,72,69,65,62,58,55,51,47,43,39,37,34,32,31,29,28,27,26
