SUM of OBS_VALUE,TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Grand Total
Austria,,,,,,,3,5,3,1,4,3,6,1,2,4,9,6,5,4,1,4,3,64
Belgium,8,10,9,6,19,15,18,30,22,37,32,61,58,65,115,83,81,59,57,104,71,67,79,1106
Canada,7,10,12,12,14,15,9,17,13,31,23,17,18,25,16,20,22,22,26,12,17,17,,375
Chile,,,,,,,,,,,,1,1,,1,,1,2,,1,1,1,1,10
Costa Rica,,,,,,,,,,,,1,,,,,,,,,,,,1
Czechia,,,,,,,,,,1,1,,,,,,1,,1,,,1,,5
Denmark,2,1,1,3,,3,2,5,5,,2,4,4,4,12,15,9,,,,,,,72
Estonia,,,,,,,,,,,,,,2,,,1,,,,,,1,4
Finland,1,1,,2,,,,,,3,,3,2,4,5,6,3,1,1,1,2,3,,38
France,,,,,,,,,,,,74,107,93,134,165,148,147,115,97,95,117,,1292
Germany,35,29,22,36,57,51,51,43,44,58,73,98,84,98,110,105,110,107,123,134,126,132,,1726
Greece,,,,,,,,,,,,,22,28,18,9,13,13,33,97,134,124,,491
Hungary,,,2,,,,1,1,,,,2,1,,,1,2,,1,,1,1,,13
Iceland,,,,,,,,,,,,,,,,,,,,2,,1,2,5
Ireland,,,,,,,,,,,12,7,11,11,29,29,33,32,19,31,21,29,,264
Israel,40,19,19,12,10,11,28,10,21,27,28,51,37,62,47,73,70,81,108,89,88,56,52,1039
Latvia,,,,,,,,,,,,,,1,,,,,,,,,,1
Netherlands,,,5,,,5,,,,10,7,6,12,,5,10,6,,7,15,7,13,,108
New Zealand,2,3,4,2,1,3,1,5,3,8,3,5,3,6,1,1,8,2,2,3,1,2,6,75
Norway,9,10,2,4,4,4,3,7,5,5,5,10,8,9,8,9,12,8,5,8,13,9,,157
Poland,,,,,,,,,,,,,,,,,,,,2,,1,,3
Portugal,,,,,,,,,,,,,,,,,,15,14,,,,,29
Slovenia,3,2,1,2,1,,5,3,,4,3,,,,4,12,14,9,3,6,6,6,1,85
Spain,5,9,8,8,15,25,22,46,28,61,39,50,26,28,64,9,55,11,5,166,173,90,179,1122
Sweden,7,5,10,6,5,7,16,17,14,13,12,22,12,13,13,16,15,8,9,11,14,,,245
Switzerland,,,,117,85,96,119,124,150,162,191,194,218,263,237,208,272,228,214,229,259,231,237,3834
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
United Kingdom,197,195,194,245,307,275,281,304,279,343,373,386,454,609,790,328,266,220,226,215,199,186,,6872
United States,,,29,28,31,19,17,41,13,22,19,36,24,12,23,18,21,18,20,27,23,23,,464
Grand Total,316,294,318,483,549,529,576,658,600,786,827,1031,1108,1334,1634,1121,1172,989,994,1254,1252,1114,561,19500
