Anno,Fascia 0-4,Fascia 5-17,Fascia 18,Fascia 19,Fascia 20-49,Fascia 50-64,Fascia 65-74,Fascia 75-84,Fascia 85+,Totale 50+,Normalizzato 2019
2019,"3,508,128.00","7,234,403.00","586,873.00","585,535.00","22,270,450.00","22,938,028.75","21,723,419.25","21,939,808.50","11,734,651.50","78,335,908.00",1.00
2020,"3,396,807.00","7,168,621.00","574,707.00","590,744.00","21,876,243.00","23,288,203.75","22,084,965.50","21,939,970.50","12,034,918.50","79,348,058.25",1.01
2021,"3,324,765.00","7,134,603.00","566,163.00","576,282.00","21,413,388.00","23,428,538.00","22,475,388.00","21,713,278.50","12,104,697.00","79,721,901.50",1.02
2022,"3,214,251.00","7,076,080.00","569,708.00","567,290.00","21,027,161.00","23,792,398.00","22,413,173.25","22,200,480.00","12,218,816.50","80,624,867.75",1.03
2023,"3,127,866.00","6,990,469.00","586,339.00","577,155.00","20,812,341.00","24,087,623.00","22,469,499.00","22,608,715.50","12,338,953.00","81,504,790.50",1.04
2024,"3,047,214.00","6,899,002.00","583,460.00","593,590.00","20,594,705.00","24,346,456.75","22,510,218.25","22,998,276.00","12,758,828.50","82,613,779.50",1.05
2025,"2,974,329.00","6,778,599.00","587,817.00","589,316.00","20,383,523.00","24,546,067.00","22,777,124.50","23,220,117.00","13,296,371.00","83,839,679.50",1.07
2026,"2,925,132.00","6,641,812.00","588,662.00","593,476.00","20,197,785.00","24,647,621.25","23,131,598.75","23,400,504.00","13,777,967.50","84,957,691.50",1.08
2027,"2,884,807.50","6,496,099.00","592,078.00","594,127.00","20,050,659.00","24,633,959.00","23,646,805.00","23,647,063.50","13,980,967.00","85,908,794.50",1.10
2028,"2,858,038.50","6,346,849.00","586,926.00","597,354.00","19,933,310.00","24,529,734.25","24,214,164.00","23,910,754.50","14,107,978.50","86,762,631.25",1.11
2029,"2,854,209.00","6,190,064.00","579,696.00","592,017.00","19,838,352.00","24,329,835.25","24,848,339.75","24,201,441.00","14,198,970.50","87,578,586.50",1.12
2030,"2,868,801.00","6,036,358.00","565,547.00","584,610.00","19,771,864.00","23,959,965.75","25,575,572.75","24,627,271.50","14,236,392.50","88,399,202.50",1.13
2031,"2,885,125.50","5,890,526.00","558,316.00","570,314.00","19,714,785.00","23,577,263.50","26,231,341.50","25,127,865.00","14,183,702.50","89,120,172.50",1.14
2032,"2,902,590.00","5,766,459.00","537,421.00","562,945.00","19,655,903.00","23,164,062.25","26,853,326.50","25,202,695.50","14,673,901.00","89,893,985.25",1.15
2033,"2,921,301.00","5,649,425.00","531,390.00","541,935.00","19,588,755.00","22,765,008.00","27,400,997.00","25,348,257.00","15,115,028.50","90,629,290.50",1.16
2034,"2,942,133.00","5,546,581.00","518,232.00","535,776.00","19,518,550.00","22,336,686.75","27,912,768.00","25,487,667.00","15,569,213.00","91,306,334.75",1.17
2035,"2,963,334.00","5,456,196.00","507,515.00","522,504.00","19,448,305.00","21,880,642.00","28,342,853.50","25,866,121.50","15,875,447.50","91,965,064.50",1.17
2036,"2,982,843.00","5,380,632.00","494,704.00","511,671.00","19,371,264.00","21,450,997.75","28,633,146.75","26,343,990.00","16,132,292.00","92,560,426.50",1.18
2037,"3,000,685.50","5,324,558.00","477,392.00","498,804.00","19,298,757.00","20,977,885.25","28,876,380.00","26,994,172.50","16,278,548.00","93,126,985.75",1.19
2038,"3,016,746.00","5,287,895.00","460,201.00","481,451.00","19,211,911.00","20,521,844.00","29,042,169.00","27,700,929.00","16,414,557.50","93,679,499.50",1.20
2039,"3,028,639.50","5,269,351.00","445,177.00","464,221.00","19,090,499.00","20,109,482.75","29,094,698.75","28,490,773.50","16,572,594.50","94,267,549.50",1.20
2040,"3,036,070.50","5,258,333.00","440,229.00","449,158.00","18,963,543.00","19,666,827.25","28,996,922.50","29,413,003.50","16,829,890.00","94,906,643.25",1.21
2041,"3,040,615.50","5,257,016.00","432,146.00","444,185.00","18,815,317.00","19,294,577.75","28,830,152.00","30,243,348.00","17,103,306.00","95,471,383.75",1.22
2042,"3,041,362.50","5,271,230.00","418,075.00","436,101.00","18,671,669.00","18,974,415.25","28,537,028.00","31,030,339.50","17,406,108.50","95,947,891.25",1.22
2043,"3,037,920.00","5,297,074.00","407,716.00","422,027.00","18,512,964.00","18,725,213.50","28,167,152.00","31,725,382.50","17,742,065.00","96,359,813.00",1.23
2044,"3,030,309.00","5,322,340.00","408,890.00","411,669.00","18,362,142.00","18,479,770.75","27,736,647.25","32,369,004.00","18,084,687.50","96,670,109.50",1.23
2045,"3,018,741.00","5,346,128.00","410,293.00","412,842.00","18,207,243.00","18,289,449.50","27,168,527.75","32,927,076.00","18,529,918.00","96,914,971.25",1.24
2046,"3,001,344.00","5,368,435.00","411,675.00","414,246.00","18,055,769.00","18,131,006.25","26,611,146.25","33,316,299.00","19,021,469.50","97,079,921.00",1.24
2047,"2,979,058.50","5,388,035.00","413,291.00","415,627.00","17,899,027.00","18,011,850.50","25,981,956.00","33,656,580.00","19,573,471.50","97,223,858.00",1.24
2048,"2,951,674.50","5,403,868.00","415,597.00","417,243.00","17,740,922.00","17,901,282.00","25,376,724.75","33,904,273.50","20,150,273.00","97,332,553.25",1.24
2049,"2,919,654.00","5,414,893.00","418,221.00","419,548.00","17,576,334.00","17,841,146.75","24,732,964.75","34,025,260.50","20,797,029.00","97,396,401.00",1.24
2050,"2,883,432.00","5,420,728.00","420,660.00","422,170.00","17,413,724.00","17,797,400.25","24,049,161.50","33,997,734.00","21,604,165.00","97,448,460.75",1.24
