"Codice regione","Regione","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"01","PIEMONTE","999301","923853","91658","62895","2422","97","58","2080284","828931","934113","127384","279510","1521","114","11","2171584","4251868"
"02","VALLE D'AOSTA","30522","24834","3084","1671","48","1","2","60162","25484","24999","4119","7732","32","4","0","62370","122532"
"03","LOMBARDIA","2460223","2171514","178298","127120","6818","221","165","4944359","2072612","2189747","247954","575292","3702","213","39","5089559","10033918"
"04","TRENTINO ALTO ADIGE","283043","224377","19066","11456","437","20","11","538410","240334","226239","25851","55079","310","28","1","547842","1086252"
"05","VENETO","1164711","1078774","86398","60789","2206","70","41","2392989","973508","1086346","115521","283737","1284","77","10","2460483","4853472"
"06","FRIULI VENEZIA GIULIA","283036","257258","26198","17201","453","12","12","584170","231793","258671","36273","82069","282","23","3","609114","1193284"
"07","LIGURIA","347353","322941","36615","23733","763","25","11","731441","289118","328261","51708","108978","599","33","5","778702","1510143"
"08","EMILIA ROMAGNA","1098087","943978","86131","61053","2503","71","48","2191871","934230","952346","121467","260243","1699","129","13","2270127","4461998"
"09","TOSCANA","856815","800217","70285","52908","1636","62","31","1781954","735045","810939","99029","229357","1308","66","18","1875762","3657716"
"10","UMBRIA","195164","192184","13978","11890","341","10","5","413572","166540","194899","19600","56669","184","7","2","437901","851473"
"11","MARCHE","351098","330339","24671","19649","439","13","6","726215","289507","333843","33049","97606","301","19","5","754330","1480545"
"12","LAZIO","1380491","1222598","92141","71602","3989","98","47","2770966","1228967","1243084","142000","321828","2186","127","20","2938212","5709178"
"13","ABRUZZO","295131","292687","18774","16330","282","5","3","623212","244192","293708","24859","82924","199","24","0","645906","1269118"
"14","MOLISE","67118","68302","3371","4053","42","2","2","142890","53244","67606","4105","19943","24","1","1","144924","287814"
"15","CAMPANIA","1305709","1306122","44646","70979","1015","32","11","2728514","1147930","1331800","68418","305063","580","30","2","2853823","5582337"
"16","PUGLIA","867001","929910","43490","51989","767","18","12","1893187","764328","936873","59451","223092","441","20","3","1984208","3877395"
"17","BASILICATA","122226","127851","5185","7208","35","0","0","262505","98918","127006","6529","35005","41","0","0","267499","530004"
"18","CALABRIA","424266","436076","17093","23166","145","9","2","900757","357384","437619","22922","115869","91","3","1","933889","1834646"
"19","SICILIA","1088940","1132762","54531","59004","1074","37","16","2336364","948616","1136928","75105","289596","733","40","8","2451026","4787390"
"20","SARDEGNA","385758","334830","26311","20513","466","12","5","767895","329014","334979","32506","97696","264","23","4","794486","1562381"
